Time[s]	Tin [C]	Tout[C]	FM[L/s]
10	30.506	34.26	46295.577
20	32.682	35.722	0.29
30	30.67	35.78	0.291
40	30.905	35.622	0.291
50	31.492	35.468	0.291
60	32.099	35.639	0.292
70	32.732	35.609	0.292
80	32.884	35.544	0.293
90	32.761	35.49	0.293
100	32.813	35.489	0.294
110	32.842	35.473	0.295
120	32.931	35.534	0.295
130	33.05	35.436	0.296
140	33.25	35.382	0.296
150	33.485	35.236	0.296
160	33.679	35.133	0.297
170	33.913	35.107	0.297
180	34.204	35.097	0.297
190	34.432	35.092	0.298
200	34.653	35.023	0.298
210	34.858	34.974	0.298
220	35.045	34.91	0.298
230	35.213	34.958	0.299
240	35.365	34.889	0.299
250	35.495	34.908	0.299
260	35.611	34.855	0.299
270	35.722	34.813	0.299
280	35.822	34.818	0.299
290	35.911	34.789	0.299
300	36.003	34.761	0.3
310	36.081	34.712	0.299
320	36.161	34.697	0.299
330	36.235	34.651	0.3
340	36.31	34.73	0.3
350	36.376	34.81	0.3
360	36.446	34.77	0.3
370	36.517	34.794	0.3
380	36.584	34.848	0.3
390	36.645	34.817	0.3
400	36.708	34.812	0.3
410	36.765	34.862	0.3
420	36.817	34.907	0.301
430	36.869	34.881	0.3
440	36.922	34.925	0.3
450	36.971	34.977	0.3
460	37.021	34.967	0.301
470	37.067	34.994	0.3
480	37.113	35.017	0.301
490	37.157	35.031	0.301
500	37.195	35.048	0.301
510	37.236	35.093	0.301
520	37.28	35.133	0.301
530	37.321	35.153	0.301
540	37.358	35.164	0.301
550	37.394	35.192	0.301
560	37.43	35.215	0.3
570	37.466	35.237	0.301
580	37.495	35.26	0.3
590	37.528	35.325	0.301
600	37.561	35.332	0.3
610	37.588	35.379	0.3
620	37.622	35.38	0.3
630	37.649	35.411	0.301
640	37.68	35.444	0.301
650	37.711	35.47	0.3
660	37.712	35.502	0.3
670	37.714	35.523	0.3
680	37.724	35.551	0.301
690	37.731	35.569	0.301
700	37.737	35.583	0.3
710	37.687	35.622	0.3
720	37.587	35.636	0.3
730	37.537	35.654	0.301
740	37.481	35.691	0.3
750	37.429	35.707	0.301
760	37.388	35.741	0.3
770	37.345	35.756	0.301
780	37.308	35.786	0.3
790	37.276	35.806	0.3
800	37.247	35.833	0.3
810	37.224	35.82	0.3
820	37.203	35.859	0.3
830	37.184	35.877	0.3
840	37.168	35.89	0.3
850	37.157	35.909	0.3
860	37.142	35.923	0.3
870	37.128	35.945	0.3
880	37.124	35.951	0.3
890	37.117	35.963	0.3
900	37.106	35.966	0.3
910	37.104	36.007	0.3
920	37.1	36.01	0.3
930	37.093	36.007	0.3
940	37.093	36.027	0.3
950	37.093	36.037	0.3
960	37.088	36.034	0.299
970	37.087	36.048	0.299
980	37.091	36.073	0.3
990	37.092	36.083	0.3
1000	37.095	36.075	0.3
1010	37.093	36.074	0.3
1020	37.099	36.089	0.3
1030	37.103	36.094	0.3
1040	37.102	36.095	0.3
1050	37.105	36.102	0.3
1060	37.109	36.121	0.3
1070	37.113	36.13	0.3
1080	37.118	36.12	0.3
1090	37.119	36.132	0.3
1100	37.122	36.147	0.3
1110	37.129	36.147	0.3
1120	37.133	36.144	0.3
1130	37.139	36.147	0.3
1140	37.143	36.165	0.3
1150	37.145	36.173	0.3
1160	37.153	36.175	0.3
1170	37.153	36.173	0.3
1180	37.159	36.181	0.3
1190	37.164	36.18	0.3
1200	37.166	36.191	0.3
1210	37.169	36.197	0.3
1220	37.165	36.199	0.3
1230	37.057	36.198	0.3
1240	36.999	36.212	0.3
1250	36.947	36.22	0.3
1260	36.889	36.203	0.301
1270	36.842	36.229	0.3
1280	36.801	36.227	0.3
1290	36.765	36.222	0.3
1300	36.73	36.246	0.3
1310	36.701	36.248	0.301
1320	36.672	36.245	0.3
1330	36.654	36.251	0.301
1340	36.627	36.257	0.301
1350	36.608	36.261	0.3
1360	36.591	36.26	0.3
1370	36.578	36.262	0.3
1380	36.571	36.267	0.301
1390	36.563	36.274	0.301
1400	36.557	36.281	0.3
1410	36.548	36.282	0.301
1420	36.54	36.283	0.301
1430	36.541	36.283	0.301
1440	36.538	36.282	0.3
1450	36.536	36.287	0.3
1460	36.535	36.287	0.3
1470	36.539	36.285	0.3
1480	36.542	36.284	0.301
1490	36.543	36.284	0.3
1500	36.546	36.286	0.301
1510	36.548	36.289	0.3
1520	36.555	36.29	0.301
1530	36.563	36.288	0.301
1540	36.572	36.288	0.301
1550	36.579	36.284	0.301
1560	36.589	36.284	0.301
1570	36.609	36.282	0.3
1580	36.638	36.28	0.3
1590	36.66	36.273	0.301
1600	36.679	36.278	0.301
1610	36.7	36.278	0.301
1620	36.721	36.277	0.3
1630	36.74	36.277	0.3
1640	36.758	36.279	0.301
1650	36.782	36.277	0.301
1660	36.8	36.283	0.3
1670	36.816	36.287	0.301
1680	36.833	36.283	0.301
1690	36.851	36.29	0.301
1700	36.869	36.287	0.301
